id,group,verdict,in,out,cacheR,cacheW,total,cost_usd,lat_s,ctx_peak,compactions
hm1,HM,FAIL,26,1620,139383,64276,205305,0.30722,47.8,0,0
hm2,HM,FAIL,23,1087,112406,51668,165184,0.24385,33.1,0,0
hm3,HM,PASS,21,946,87307,51463,139737,0.23342,28.4,0,0
hm4,HM,FAIL,22,958,99845,51459,152284,0.23737,32.3,0,0
hm5,HM,PASS,14,430,49144,26068,75656,0.11899,18.1,0,0
